;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y49;0.29306;0.41178;0.37643;0.41178
y50;0.27937;0.28876;0.28883;0.28876
y51;0.28858;0.44400;0.39795;0.44400
y52;0.23807;0.42767;0.25145;0.42767
y53;0.28809;0.33225;0.26819;0.33225
y54;0.26310;0.35493;0.36596;0.35493
y55;0.20867;0.22155;0.21939;0.22155
y56;0.23812;0.50743;0.25296;0.50743
y57;0.30292;0.43564;0.24758;0.43564
y58;0.30683;0.28879;0.30455;0.28879
y59;0.33826;0.27699;0.23405;0.27699
y60;0.35833;0.49221;0.39131;0.49221
y61;0.22456;0.26394;0.19517;0.26394
y62;0.21332;0.36408;0.23090;0.36408
y63;0.22903;0.35809;0.26096;0.35809
y64;0.20214;0.25363;0.21215;0.25363
y65;0.21490;0.31903;0.24041;0.31903
y66;0.19357;0.30882;0.17602;0.30882
y67;0.23990;0.27703;0.28372;0.27703
y68;0.20561;0.40127;0.27977;0.40127
y69;0.22511;0.26240;0.28204;0.26240
y70;0.23159;0.25424;0.21453;0.25424
y71;0.28903;0.46591;0.30545;0.46591
y72;0.25420;0.49649;0.23097;0.49649
y73;0.24739;0.48897;0.31040;0.48897
y74;0.22122;0.23530;0.21250;0.23530
y75;0.25127;0.18298;0.23708;0.18298
y76;0.32836;0.29816;0.26370;0.29816
y77;0.23615;0.23026;0.27784;0.23026
y78;0.20771;0.22860;0.14034;0.22860
y79;0.25490;0.23369;0.24351;0.23369
y80;0.22986;0.56143;0.22875;0.56143
y81;0.17928;0.19934;0.18100;0.19934
y82;0.23493;0.46427;0.23682;0.46427
y83;0.30605;0.34144;0.24967;0.34144
y84;0.26404;0.22698;0.23500;0.22698
y85;0.21432;0.54409;0.23213;0.54409
y86;0.24320;0.34726;0.24145;0.34726
y87;0.23424;0.23276;0.20555;0.23276
y88;0.24992;0.52345;0.24294;0.52345
y89;0.29440;0.53825;0.24236;0.53825
y90;0.25909;0.29245;0.27516;0.29245
y91;0.20893;0.29785;0.31068;0.29785
y92;0.23795;0.27377;0.23547;0.27377
y93;0.24780;0.47817;0.23564;0.47817
y94;0.23179;0.25208;0.24798;0.25208
y95;0.23877;0.45268;0.21043;0.45268
y96;0.28176;0.29971;0.20001;0.29971
y97;0.28310;0.29699;0.29692;0.29699
y98;0.22944;0.37479;0.23263;0.37479
y99;0.22159;0.33449;0.22809;0.33449
y100;0.28868;0.49758;0.18914;0.49758
y101;0.31051;0.37359;0.30649;0.37359
y102;0.27212;0.32338;0.27110;0.32338
y103;0.24794;0.57844;0.24227;0.57844
y104;0.24541;0.25109;0.27217;0.25109
y105;0.33021;0.23317;0.22229;0.23317
y106;0.21599;0.33876;0.25080;0.33876
y107;0.24598;0.21870;0.27594;0.21870
y108;0.25537;0.45856;0.22031;0.45856
y109;0.20641;0.51498;0.18532;0.51498
y110;0.27481;0.35268;0.26137;0.35268
y111;0.26884;0.45084;0.24490;0.45084
y112;0.19989;0.28888;0.24049;0.28888
y113;0.23179;0.31167;0.27367;0.31167
y114;0.24205;0.29349;0.21705;0.29349
y115;0.18612;0.20306;0.24189;0.20306
y116;0.23954;0.32762;0.30159;0.32762
y117;0.31593;0.41394;0.22626;0.41394
y118;0.22205;0.25740;0.28468;0.25740
